                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4973,                  4.308,                 4.2301,                0.00153,                0.27564,                0.00185,                0.00038,                 2.8492,                 4.0039,                 4.1587,              4.998e-05,              4.998e-05,              4.998e-05
                      2,                 3.4282,                 4.2456,                  4.211,                0.00132,                0.39103,                0.00235,                0.00046,                 2.8484,                 3.9971,                 4.1565,             0.00010604,             0.00010604,             0.00010604
                      3,                 3.4688,                  4.236,                 4.1874,                0.00135,                0.39103,                0.00231,                0.00049,                 2.8406,                 3.9812,                 4.1514,             0.00016097,             0.00016097,             0.00016097
                      4,                 3.4278,                 4.1643,                 4.1488,                 0.0014,                0.40385,                0.00234,                0.00055,                 2.8277,                  3.956,                 4.1394,             0.00021477,             0.00021477,             0.00021477
                      5,                 3.3362,                 4.0277,                 4.0864,                0.00148,                0.42949,                0.00297,                0.00064,                 2.8034,                 3.8365,                 4.1066,             0.00026743,             0.00026743,             0.00026743
                      6,                  3.371,                 4.0141,                 3.9887,                0.00145,                0.42308,                0.00407,                0.00112,                 2.7584,                 3.7871,                 4.0502,             0.00031897,             0.00031897,             0.00031897
                      7,                 3.2851,                 3.9585,                 3.8763,                0.00173,                0.40385,                0.00598,                0.00131,                 2.7274,                 3.7183,                 3.9104,             0.00036937,             0.00036937,             0.00036937
                      8,                 3.2613,                 3.8945,                 3.7287,                0.00182,                0.41026,                0.00414,                0.00097,                 2.7232,                 3.6824,                 3.8822,             0.00041865,             0.00041865,             0.00041865
                      9,                 3.1817,                 3.8358,                 3.6269,                0.50183,                0.39744,                 0.0066,                0.00132,                 2.7851,                  4.437,                 3.7773,             0.00046679,             0.00046679,             0.00046679
                     10,                 3.0657,                   3.77,                 3.5111,                0.50232,                0.42308,                 0.0046,                0.00093,                 2.7478,                 4.5913,                 3.6399,              0.0005138,              0.0005138,              0.0005138
                     11,                 3.0001,                 3.7532,                 3.4186,                0.50244,                0.40385,                0.00468,                0.00106,                 2.6483,                 4.5144,                 3.3233,             0.00055968,             0.00055968,             0.00055968
                     12,                 2.9368,                 3.6653,                 3.2931,                0.00361,                0.36538,                0.00931,                0.00188,                 2.7627,                 9.1372,                 3.2747,             0.00060443,             0.00060443,             0.00060443
                     13,                 2.7778,                 3.6158,                 3.1553,                 0.0048,                0.55581,                0.00967,                0.00241,                 2.9141,                 3.7606,                 3.9103,             0.00062918,             0.00062918,             0.00062918
                     14,                 2.6385,                 3.4772,                 3.0452,                 0.0025,                0.20551,                0.00577,                0.00131,                 2.7743,                 4.0413,                 4.0137,             0.00062211,             0.00062211,             0.00062211
                     15,                 2.5864,                 3.4027,                 2.9236,                0.00473,                0.79035,                0.01943,                0.00596,                 2.5692,                 4.7998,                 3.1588,             0.00061504,             0.00061504,             0.00061504
