                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75573,                 2.7534,                  1.152,                0.00343,                      1,                0.92978,                0.79248,                0.48907,                 2.9167,                 0.9056,                0.00012,                0.00012,                0.00012
                      2,                0.74869,                 1.7196,                    1.1,                      1,                0.65682,                0.98608,                0.77488,                0.65835,                 2.4261,                0.96565,             0.00025743,             0.00025743,             0.00025743
                      3,                 0.7466,                 1.2819,                 1.0701,                      1,                0.61528,                0.96213,                 0.7574,                0.71656,                 2.5264,                 1.0043,             0.00039208,             0.00039208,             0.00039208
                      4,                0.77919,                 1.2012,                 1.0647,                      1,                0.77316,                0.92559,                0.72508,                0.69279,                 2.3003,                 1.0001,             0.00052396,             0.00052396,             0.00052396
                      5,                0.73036,                 1.0718,                 1.0287,                0.48528,                0.44118,                0.41547,                0.25705,                 1.2234,                 3.1251,                 1.5059,             0.00065307,             0.00065307,             0.00065307
                      6,                0.74379,                 1.0761,                 1.0526,                0.55937,                    0.5,                0.52171,                0.34085,                 1.1206,                 2.9788,                 1.4652,             0.00077941,             0.00077941,             0.00077941
                      7,                0.76906,                 1.0506,                  1.056,                0.82661,                0.28107,                0.35969,                0.13949,                 1.3003,                 3.6158,                  2.107,             0.00090298,             0.00090298,             0.00090298
                      8,                0.77266,                 0.9885,                 1.0466,                0.31716,                0.17647,                0.12378,                0.04597,                 1.6797,                 4.0055,                 2.3011,              0.0010238,              0.0010238,              0.0010238
                      9,                0.78002,                 1.0276,                 1.0676,                0.25891,                0.20588,                0.14778,                0.08116,                 1.6538,                 3.6935,                 2.2238,              0.0011418,              0.0011418,              0.0011418
                     10,                0.80221,                0.97792,                 1.0676,                0.20739,                0.23529,                0.12172,                0.05127,                 2.0054,                 3.4942,                 2.1829,               0.001257,               0.001257,               0.001257
                     11,                0.83298,                0.99661,                 1.0931,                0.32983,                0.26471,                0.18237,                0.06016,                 2.5752,                 3.3423,                  2.906,              0.0013695,              0.0013695,              0.0013695
                     12,                0.76629,                0.88401,                 1.0505,                0.32315,                0.05882,                0.03252,                0.00726,                 2.5446,                 3.8521,                 3.2701,              0.0014792,              0.0014792,              0.0014792
                     13,                0.78626,                0.85542,                 1.0663,                0.38908,                0.38235,                 0.2957,                0.12678,                 2.2078,                 3.1041,                 2.7975,              0.0015862,              0.0015862,              0.0015862
                     14,                 0.7836,                0.81545,                 1.0752,                0.00232,                0.67647,                0.00343,                  0.001,                 2.5693,                  7.649,                 2.8798,              0.0016903,              0.0016903,              0.0016903
                     15,                0.90753,                 0.8999,                 1.1254,                0.01521,                0.20588,                0.00988,                0.00351,                 2.5205,                 8.2321,                 3.1868,              0.0017228,              0.0017228,              0.0017228
                     16,                0.87266,                0.85927,                 1.1137,                 0.1054,                0.23529,                0.07011,                0.03744,                 1.6597,                 3.9569,                 1.8172,               0.001703,               0.001703,               0.001703
                     17,                0.84485,                0.80983,                 1.1113,                0.62373,                0.11765,                0.17747,                 0.1068,                 1.7631,                 5.9752,                 1.8324,              0.0016832,              0.0016832,              0.0016832
                     18,                0.80901,                0.75799,                 1.1028,                0.01376,                0.05882,                0.00249,                0.00148,                 3.8078,                 15.546,                 3.9046,              0.0016634,              0.0016634,              0.0016634
                     19,                  0.791,                0.67257,                 1.0574,                0.42075,                0.23529,                0.24602,                0.06803,                 2.3543,                 6.7687,                 2.6823,              0.0016436,              0.0016436,              0.0016436
                     20,                0.79418,                0.67655,                 1.0844,                0.01994,                0.08824,                0.00679,                0.00195,                 3.0461,                 5.7646,                 4.1014,              0.0016238,              0.0016238,              0.0016238
                     21,                 0.7832,                0.67564,                 1.0605,                0.60603,                0.36226,                0.44416,                0.27613,                 1.4988,                 2.2502,                 1.5976,               0.001604,               0.001604,               0.001604
                     22,                0.73986,                 0.6069,                 1.0471,                0.62803,                0.35294,                0.39806,                 0.2206,                 1.8466,                 2.3178,                 1.8443,              0.0015842,              0.0015842,              0.0015842
                     23,                0.76305,                0.61219,                 1.0647,                0.96939,                0.23529,                0.35535,                0.24625,                 1.4963,                 2.1835,                 1.5596,              0.0015644,              0.0015644,              0.0015644
                     24,                0.70849,                0.56864,                 1.0342,                 0.7514,                0.44463,                0.63778,                0.44187,                  1.097,                 1.4446,                 1.3787,              0.0015446,              0.0015446,              0.0015446
                     25,                0.75535,                  0.583,                 1.0732,                0.19438,                0.35294,                0.20119,                0.15315,                 1.2428,                 4.2076,                 1.5234,              0.0015248,              0.0015248,              0.0015248
                     26,                0.73894,                0.56788,                 1.0223,                0.15516,                0.55882,                0.22099,                0.14577,                  1.113,                 2.4207,                 1.2634,               0.001505,               0.001505,               0.001505
                     27,                0.72311,                0.56831,                 1.0302,                0.48955,                0.28244,                0.32036,                0.19468,                 1.6814,                 2.0733,                 1.6916,              0.0014852,              0.0014852,              0.0014852
                     28,                0.72945,                0.58329,                 1.0464,                0.95645,                0.70588,                0.75966,                0.52048,                 1.0084,                 1.1217,                 1.1697,              0.0014654,              0.0014654,              0.0014654
                     29,                0.70412,                0.56722,                 1.0154,                0.94113,                0.94043,                0.96839,                 0.7411,                0.84528,                0.62376,                 1.1355,              0.0014456,              0.0014456,              0.0014456
                     30,                0.70818,                0.53517,                 1.0207,                 0.8292,                0.91176,                0.94847,                0.71679,                0.84158,                0.63004,                 1.0584,              0.0014258,              0.0014258,              0.0014258
                     31,                0.68445,                 0.5133,                 1.0145,                0.86552,                0.88235,                0.94551,                0.73136,                0.77351,                0.74638,                 1.0303,               0.001406,               0.001406,               0.001406
                     32,                0.68018,                0.51478,                 1.0039,                0.91272,                0.88235,                0.93521,                0.78132,                0.67353,                0.65945,                0.98851,              0.0013862,              0.0013862,              0.0013862
                     33,                0.65344,                0.50129,                 1.0092,                      1,                0.95703,                0.99389,                0.80853,                0.69358,                0.70805,                 1.0079,              0.0013664,              0.0013664,              0.0013664
                     34,                0.66875,                0.48887,                 1.0087,                 0.7247,                0.88235,                0.89545,                0.61083,                  1.035,                0.94034,                 1.3314,              0.0013466,              0.0013466,              0.0013466
                     35,                  0.645,                0.47285,                0.99624,                0.94068,                      1,                0.98962,                0.79195,                0.73859,                0.50696,                 1.0909,              0.0013268,              0.0013268,              0.0013268
                     36,                0.65294,                0.47078,                0.99442,                0.96681,                      1,                  0.995,                0.82177,                 0.7316,                0.49201,                 1.0662,               0.001307,               0.001307,               0.001307
                     37,                0.65822,                0.48873,                0.99941,                0.98616,                0.94118,                0.99222,                0.80609,                0.76102,                0.52241,                 1.0521,              0.0012872,              0.0012872,              0.0012872
                     38,                 0.6368,                0.45731,                 1.0028,                0.92703,                0.94118,                0.97822,                0.78345,                0.74024,                0.54411,                 1.0608,              0.0012674,              0.0012674,              0.0012674
                     39,                0.61028,                0.43905,                0.98008,                0.96445,                0.97059,                0.98491,                0.80001,                0.67434,                0.50718,                 1.0002,              0.0012476,              0.0012476,              0.0012476
                     40,                0.63895,                0.46104,                 1.0121,                0.96915,                      1,                0.99271,                0.80805,                0.74059,                 0.4567,                 1.0495,              0.0012278,              0.0012278,              0.0012278
                     41,                0.63017,                0.46615,                0.98591,                0.99693,                      1,                  0.995,                0.82566,                0.70362,                0.38393,                 1.0354,               0.001208,               0.001208,               0.001208
                     42,                0.63288,                0.45361,                 1.0049,                      1,                 0.9627,                0.98833,                  0.826,                0.66485,                0.44496,                0.97765,              0.0011882,              0.0011882,              0.0011882
                     43,                0.65118,                0.46359,                 1.0149,                0.96706,                0.97059,                0.97556,                  0.829,                0.64237,                0.42482,                0.99067,              0.0011684,              0.0011684,              0.0011684
                     44,                0.59008,                0.41731,                0.97011,                0.96427,                0.94118,                0.97194,                0.79078,                 0.6759,                0.49942,                0.97925,              0.0011486,              0.0011486,              0.0011486
                     45,                0.61353,                0.41371,                0.98767,                0.96772,                0.88176,                0.95032,                0.77608,                0.72563,                  0.601,                 1.0007,              0.0011288,              0.0011288,              0.0011288
                     46,                0.56344,                0.40944,                0.96232,                0.99919,                0.94118,                0.99201,                0.83425,                0.68515,                0.47377,                 1.0293,               0.001109,               0.001109,               0.001109
                     47,                 0.5875,                0.44011,                0.95481,                0.99975,                0.94118,                0.98761,                0.82388,                0.68007,                0.54152,                 1.0271,              0.0010892,              0.0010892,              0.0010892
                     48,                 0.5721,                0.41573,                0.94972,                0.99234,                0.97059,                0.99244,                0.84606,                0.60943,                0.38225,                0.95066,              0.0010694,              0.0010694,              0.0010694
                     49,                0.56372,                0.39837,                 0.9563,                0.93811,                0.97059,                0.98291,                0.78898,                0.74127,                0.48014,                 1.0036,              0.0010496,              0.0010496,              0.0010496
                     50,                0.57817,                0.39969,                0.98166,                 0.9394,                      1,                0.98859,                0.76682,                0.81906,                0.50134,                 1.1326,              0.0010298,              0.0010298,              0.0010298
                     51,                0.57594,                0.40089,                0.98765,                0.95541,                      1,                0.99186,                0.82351,                0.72234,                0.42833,                  1.059,                0.00101,                0.00101,                0.00101
                     52,                0.57358,                0.41369,                0.96445,                0.96908,                      1,                0.98586,                0.81988,                0.71173,                 0.4189,                 1.0108,              0.0009902,              0.0009902,              0.0009902
                     53,                0.56998,                0.40835,                0.96781,                0.96909,                      1,                0.99443,                0.84018,                0.59253,                0.36197,                0.94844,              0.0009704,              0.0009704,              0.0009704
                     54,                0.53303,                 0.3868,                0.94457,                      1,                 0.9343,                0.98831,                0.83259,                0.64887,                0.43243,                 0.9859,              0.0009506,              0.0009506,              0.0009506
                     55,                0.53695,                0.37801,                0.94224,                0.96872,                0.97059,                0.98894,                0.84313,                0.59097,                 0.3799,                0.95559,              0.0009308,              0.0009308,              0.0009308
                     56,                0.53619,                0.38114,                0.94562,                0.97017,                0.95687,                0.98848,                0.83866,                0.61069,                0.41029,                0.98313,               0.000911,               0.000911,               0.000911
                     57,                0.52301,                 0.3679,                0.94524,                0.94258,                0.96576,                0.97718,                0.78732,                0.72738,                0.43705,                 1.0793,              0.0008912,              0.0008912,              0.0008912
                     58,                0.53298,                0.36493,                0.94167,                0.96818,                0.97059,                0.99081,                0.83519,                0.61318,                0.40203,                0.96933,              0.0008714,              0.0008714,              0.0008714
                     59,                0.54501,                0.37243,                0.93841,                0.97122,                0.99274,                0.99443,                0.83261,                0.64576,                0.37235,                 0.9828,              0.0008516,              0.0008516,              0.0008516
                     60,                0.51694,                0.36057,                 0.9472,                 0.9685,                      1,                0.99443,                0.84599,                0.61001,                0.37603,                0.95635,              0.0008318,              0.0008318,              0.0008318
                     61,                0.55735,                0.38897,                 0.9583,                0.99641,                      1,                  0.995,                0.83828,                0.62127,                0.36373,                0.95772,               0.000812,               0.000812,               0.000812
                     62,                 0.4977,                0.35794,                0.94504,                0.96883,                      1,                0.99357,                0.85365,                0.61459,                0.37122,                 0.9423,              0.0007922,              0.0007922,              0.0007922
                     63,                0.50278,                0.34868,                0.92942,                0.99423,                      1,                  0.995,                0.79112,                0.72557,                0.36425,                 1.0163,              0.0007724,              0.0007724,              0.0007724
                     64,                 0.4985,                0.34494,                0.93064,                0.97319,                      1,                  0.995,                0.79635,                0.74256,                0.38512,                 1.0597,              0.0007526,              0.0007526,              0.0007526
                     65,                0.46708,                0.35837,                0.90284,                0.94203,                      1,                0.99301,                0.83116,                0.65069,                0.40577,                 1.0503,              0.0007328,              0.0007328,              0.0007328
                     66,                0.47367,                0.34784,                 0.9177,                0.99556,                      1,                  0.995,                 0.8374,                0.64412,                0.33339,                 1.0666,               0.000713,               0.000713,               0.000713
                     67,                0.47688,                0.34013,                0.93572,                      1,                0.99833,                  0.995,                0.82948,                0.69095,                0.34618,                 1.0493,              0.0006932,              0.0006932,              0.0006932
                     68,                0.47264,                0.34261,                0.94411,                0.96949,                      1,                0.99357,                0.83789,                0.66308,                0.33703,                0.98256,              0.0006734,              0.0006734,              0.0006734
                     69,                0.47966,                0.34833,                0.93621,                      1,                0.99832,                  0.995,                0.84101,                0.61066,                0.33837,                0.95556,              0.0006536,              0.0006536,              0.0006536
                     70,                0.49275,                0.34015,                0.91234,                      1,                0.97046,                0.99289,                0.86497,                0.55538,                0.33159,                0.93391,              0.0006338,              0.0006338,              0.0006338
                     71,                0.47933,                0.33021,                0.92331,                0.99735,                      1,                  0.995,                0.85455,                0.58526,                0.31217,                  0.936,               0.000614,               0.000614,               0.000614
                     72,                0.45804,                 0.3222,                0.91033,                0.96975,                      1,                0.98843,                0.87112,                0.56994,                0.32528,                0.94291,              0.0005942,              0.0005942,              0.0005942
                     73,                0.46814,                0.31848,                0.92027,                 0.9697,                      1,                0.99186,                0.88112,                 0.5864,                0.29426,                0.97322,              0.0005744,              0.0005744,              0.0005744
                     74,                0.47409,                0.32558,                0.93916,                0.96957,                      1,                0.99014,                0.86598,                0.57089,                0.29877,                0.94402,              0.0005546,              0.0005546,              0.0005546
                     75,                0.45547,                0.31615,                0.92451,                0.99824,                      1,                  0.995,                0.86846,                0.56353,                0.27638,                0.92697,              0.0005348,              0.0005348,              0.0005348
                     76,                0.45199,                0.30977,                0.91992,                0.99801,                      1,                  0.995,                0.87387,                0.57113,                0.26831,                0.93415,               0.000515,               0.000515,               0.000515
